"","Individual","land_used"
"301","M2210ZJBCSW421",12
"302","M2210ZJBCSW422",12
"303","M2210ZJBCSW420",12
"304","M2210ZJBCSW423",12
"305","M2210ZJHMSW428",12
"306","M2210ZJHMSW427",12
"307","M2211ZJBCSW438",52
"308","M2211ZJHMSW442",52
"309","M2211ZJHMSW443",52
"310","M2211ZJHMSW441",52
"311","M2211ZJBCSW437",52
"312","M2211ZJHMSW440",52
"313","M2211ZJBCSW439",52
"314","M2211ZJBCSW436",52
"315","M2204APBCSW289",11
"316","M2204APBCSW292",11
"317","M2204APBCSW291",11
"318","M2204APHMSW296",11
"319","M2204APHMSW295",11
"320","M2204APHMSW294",11
"321","M2204APBCSW288",11
"322","M2204APBCSW287",11
"323","M2204APHMSW293",11
"324","M2204APBCSW286",11
"325","M2204APBCSW290",11
"326","M2112ZJWDSW118",12
"327","M2112ZJBCSW123",12
"328","M2112ZJBCSW124",12
"329","M2112ZJWDSW117",12
"330","M2112ZJHMSW127",12
"331","M2112ZJHMSW128",12
"332","M2112ZJBCSW119",12
"333","M2112ZJBCSW122",12
"334","M2112ZJBCSW120",12
"335","M2112ZJHJSW115",12
"336","M2112ZJHMSW126",12
"337","M2112ZJBCSW121",12
"338","M2112ZJHJSW114",12
"339","M2112ZJWDSW116",12
"340","M2206ZJWDSW372",12
"341","M2206ZJWDSW376",12
"342","M2206ZJHMSW371",12
"343","M2206ZJBCSW369",12
"344","M2206ZJWDSW373",12
"345","M2206ZJBCSW370",12
"346","M2301ZJHMSW824",22
"347","M2301ZJBCSW815",22
"348","M2301ZJHMSW826",22
"349","M2301ZJHMSW854",22
"350","M2301ZJHJSH842",22
"351","M2301ZJHMSW825",22
"352","M2301ZJHMSW083",22
"353","M2301ZJBCSW814",22
"354","M2210ZJBCSW415",24
"355","M2210ZJQMSW424",24
"356","M2210ZJHMSW416",24
"357","M2210ZJHMSW417",24
"358","M2210ZJHMSW418",24
"359","M2207ZJHJSW377",21
"360","M2207ZJHMSW390",21
"361","M2207ZJHMSW387",21
"362","M2207ZJHMSW389",21
"363","M2207ZJHMSW388",21
"364","M2211ZJCQJH448",51
"365","M2211ZJHJSH456",51
"366","M2211ZJHJSH454",51
"367","M2211ZJHXSH452",51
"368","M2211ZJCQJH447",51
"369","M2211ZJCQJH457",51
"370","M2211ZJHJSH453",51
"371","M2211ZJHXSH451",51
"372","M2211ZJHXSH450",51
"373","M2211ZJCQJH446",51
"374","M2211ZJHJSH455",51
"375","M2211ZJHXSH449",51
"376","M2211ZJHJSH445",51
"377","M2211ZJHJSH444",51
"378","M2112ZJHXSH139",51
"379","M2112ZJHXSH140",51
"380","M2112ZJHXSH141",51
"381","M2112ZJHXSH137",51
"382","M2112ZJHXSH143",51
