"Individual","Collected_Time","Collected_Region","Hos_Taxo"
"M2206APBCSW306","2022-Summer","AP","Bandicota indica"
"M2206APBCSW307","2022-Summer","AP","Bandicota indica"
"M2206APBCSW308","2022-Summer","AP","Bandicota indica"
"M2206APBCSW309","2022-Summer","AP","Bandicota indica"
"M2206APBCSW310","2022-Summer","AP","Bandicota indica"
"M2206APBCSW311","2022-Summer","AP","Bandicota indica"
"M2206APBCSW312","2022-Summer","AP","Bandicota indica"
"M2206APBCSW313","2022-Summer","AP","Bandicota indica"
"M2206APCQJH317","2022-Summer","AP","Suncus murinus"
"M2206APCQJH318","2022-Summer","AP","Suncus murinus"
"M2206APCQJH319","2022-Summer","AP","Suncus murinus"
"M2206APCQJH320","2022-Summer","AP","Suncus murinus"
"M2206APCQJH321","2022-Summer","AP","Suncus murinus"
"M2206APCQJH322","2022-Summer","AP","Suncus murinus"
"M2206APCQJH323","2022-Summer","AP","Suncus murinus"
"M2206APCQJH325","2022-Summer","AP","Suncus murinus"
"M2206APCQJH326","2022-Summer","AP","Suncus murinus"
"M2206APCQJH327","2022-Summer","AP","Suncus murinus"
"M2206APHJSH328","2022-Summer","AP","Rattus norvegicus"
"M2206APHJSH329","2022-Summer","AP","Rattus norvegicus"
"M2206APHJSH330","2022-Summer","AP","Rattus norvegicus"
"M2206APHJSH331","2022-Summer","AP","Rattus norvegicus"
"M2206APHJSH332","2022-Summer","AP","Rattus norvegicus"
"M2206APHJSH333","2022-Summer","AP","Rattus norvegicus"
"M2206APHJSH334","2022-Summer","AP","Rattus norvegicus"
"M2206APHJSH335","2022-Summer","AP","Rattus norvegicus"
"M2206APHJSH336","2022-Summer","AP","Rattus norvegicus"
"M2206APHJSH337","2022-Summer","AP","Rattus norvegicus"
"M2206APHXSH338","2022-Summer","AP","Rattus tanezumi"
"M2206APHXSH339","2022-Summer","AP","Rattus tanezumi"
"M2206APHXSH340","2022-Summer","AP","Rattus tanezumi"
"M2206APHXSH341","2022-Summer","AP","Rattus losea"
"M2206APQMSW314","2022-Summer","AP","Berylmys sp."
"M2206APXTSW315","2022-Summer","AP","Mus caroli"
"M2206APXTSW316","2022-Summer","AP","Mus caroli"
"M2206ZJBCSW365","2022-Summer","ZJ","Bandicota indica"
"M2206ZJBCSW366","2022-Summer","ZJ","Bandicota indica"
"M2206ZJBCSW369","2022-Summer","ZJ","Bandicota indica"
"M2206ZJBCSW370","2022-Summer","ZJ","Bandicota indica"
"M2206ZJCQJH342","2022-Summer","ZJ","Suncus murinus"
"M2206ZJCQJH344","2022-Summer","ZJ","Suncus murinus"
"M2206ZJHJSH346","2022-Summer","ZJ","Rattus norvegicus"
"M2206ZJHJSH347","2022-Summer","ZJ","Rattus norvegicus"
"M2206ZJHJSH348","2022-Summer","ZJ","Rattus norvegicus"
"M2206ZJHJSH349","2022-Summer","ZJ","Rattus norvegicus"
"M2206ZJHJSH351","2022-Summer","ZJ","Rattus norvegicus"
"M2206ZJHJSH352","2022-Summer","ZJ","Rattus norvegicus"
