Longtitude	Latitude	Time	aet	def	swe	q	soil	PDSI	pet	ppt	srad	tmax	tmin	vap	vpd	ws	NIR	red	NDVI	Mammal_richness	land_used
110.1338889	21.54361111	202201	35.9	22.8	0	1.3	37.2	-2.36	58.7	26.6	136.5	19.4	13.3	1.538	0.36	2.3	25793420.41	9261201.782	0.471613088	55	52
110.1347222	21.47888889	202201	33.8	25.1	0	1.2	33.3	-2.2	58.9	24	137	19.4	13.5	1.549	0.36	2.3	23094372.56	5472389.526	0.616870158	55	11
110.1355556	21.57666667	202211	62	13.8	0	2.6	70.6	-1.64	75.8	51.3	140.5	26.7	19.3	2.244	0.64	1.8	30884746.09	9123640.747	0.543913591	55	52
110.1361111	21.57111111	202211	62	13.8	0	2.6	70.6	-1.64	75.8	51.3	140.5	26.7	19.3	2.244	0.64	1.8	30847177.73	9239459.229	0.539025474	55	11
110.1488889	21.44888889	202204	79.3	29.8	0	3.2	41.5	-1.85	109.2	63.2	214.4	25.5	19.9	2.165	0.64	2.1	23646025.39	7995187.378	0.494634581	55	11
110.15	21.565	202301	47.1	18.8	0	2.1	33	-1.41	65.9	42.1	132.5	17.5	11.4	1.213	0.47	2.4	27205808.11	9118933.716	0.497921623	55	11
110.1509302	21.5556185	202206	137.4	0	0	29	125	-2.36	137.4	166.4	233.3	31.7	25.9	3.145	0.88	2.8	31306025.39	7958438.721	0.594623846	55	11
110.1509302	21.5556185	202207	153	0	0	127.9	125	-1.77	153	280.9	245.5	32.7	26.6	3.28	0.96	2.5	30214733.89	6610390.625	0.640984751	55	11
110.1588889	21.56555556	202204	79.8	29.7	0	3.1	45	-2.02	109.6	62.5	215.1	25.6	19.7	2.153	0.65	2.1	27852932.13	7598453.979	0.571331064	55	46
110.2016667	21.51777778	202204	78	31.7	0	3.1	39.4	-2.02	109.7	61.2	214.9	25.5	19.8	2.145	0.65	2.1	30004804.69	8056615.601	0.576651867	55	12
110.22	21.12	202207	153.3	0	0	208.3	124.8	-1.04	153.3	361.6	246.3	32.7	26.6	3.348	0.89	2.8	31702026.37	7203954.468	0.629673674	54	23
110.2675	21.23277778	202204	79.1	31	0	3.2	39.6	-1.65	110.1	63.6	214.7	25.6	20.2	2.217	0.62	2.4	27638754.88	8879758.911	0.51368454	54	11
110.2688889	21.24305556	202204	79.1	31	0	3.2	39.6	-1.65	110.1	63.6	214.7	25.6	20.2	2.217	0.62	2.4	28451408.69	8349982.3	0.546213767	54	12
110.2688889	21.24305556	202211	57.5	23.2	0	1.8	63.4	-1.65	80.7	35.5	141.6	26.9	19.9	2.271	0.68	2.3	32389511.72	8180191.04	0.596733992	54	12
110.2738889	21.23916667	202201	34.6	27.6	0	1.2	31	-2.08	62.2	24.6	134.2	19.9	14.4	1.608	0.38	2.9	23128769.53	7475440.674	0.511476321	54	11
110.2755556	21.23805556	202206	140.9	0	0	41.6	123.5	-1.81	140.9	182.5	239.2	31.8	26	3.176	0.88	3	40388898.93	11084187.01	0.569321061	54	11
110.277	20.746	202207	152	0	0	297.3	134.4	1.51	152	449.3	242.9	32.7	26.2	3.333	0.86	3.1	36581201.17	7863974.609	0.646126966	51	12
110.277	20.746	202301	47.6	24.6	0	1.8	43.7	0.81	72.2	36.6	135.8	18.6	13.2	1.35	0.49	3	36429458.01	8317150.879	0.628255589	54	12
110.29	21.29611111	202204	78.8	30.8	0	3.1	40.5	-1.64	109.5	62.3	214.8	25.6	20.1	2.203	0.63	2.2	28253637.7	9101682.129	0.51269687	54	52
