species	family	Type	Host_Type
Guangdong noda-like virus 8	Nodaviridae	RNA_Virus	Mammal-unrelated
Guangdong rodent orthopicobirnavirus 1	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 2	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 3	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 4	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 5	Picobirnaviridae	RNA_Virus	Mammal-related
Marmot picobirnavirus	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 7	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 8	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 9	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 10	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 11	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 12	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 13	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 14	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 15	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 16	Picobirnaviridae	RNA_Virus	Mammal-related
Rat picobirnavirus	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 18	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 19	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 20	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 21	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 22	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 23	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 24	Picobirnaviridae	RNA_Virus	Mammal-related
Fox fecal picobirnavirus	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 26	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 27	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 28	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 29	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 30	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 31	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 32	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 33	Picobirnaviridae	RNA_Virus	Mammal-related
Marmot picobirnavirus	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 35	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 36	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 37	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 38	Picobirnaviridae	RNA_Virus	Mammal-related
Simian picobirnavirus	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 40	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent orthopicobirnavirus 41	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent picornabirus 1	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent picornabirus 2	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent picornabirus 3	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent picornabirus 4	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent picornabirus 5	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent picornabirus 6	Picobirnaviridae	RNA_Virus	Mammal-related
Marmot picobirnavirus	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent picornabirus 8	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent picornabirus 9	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent picornabirus 10	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent picornabirus 11	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong rodent picornabirus 12	Picobirnaviridae	RNA_Virus	Mammal-related
Guangdong partiti-like virus 1	Partitiviridae	RNA_Virus	Mammal-unrelated
Guangdong partiti-like virus 2	Partitiviridae	RNA_Virus	Mammal-unrelated
Guangdong partiti-like virus 3	Partitiviridae	RNA_Virus	Mammal-unrelated
Guangdong partiti-like virus 4	Partitiviridae	RNA_Virus	Mammal-unrelated
Guangdong partiti-like virus 5	Partitiviridae	RNA_Virus	Mammal-unrelated
Guangdong partiti-like virus 6	Partitiviridae	RNA_Virus	Mammal-unrelated
Guangdong partiti-like virus 7	Partitiviridae	RNA_Virus	Mammal-unrelated
Guangdong partiti-like virus 8	Partitiviridae	RNA_Virus	Mammal-unrelated
Guangdong  partiti-like virus 9	Partitiviridae	RNA_Virus	Mammal-unrelated
Lysoka partiti-like virus	Partitiviridae	RNA_Virus	Mammal-unrelated
Guangdong partiti-like virus 11	Partitiviridae	RNA_Virus	Mammal-unrelated
Guangdong partiti-like virus 12	Partitiviridae	RNA_Virus	Mammal-unrelated
Guangdong partiti-like virus 13	Partitiviridae	RNA_Virus	Mammal-unrelated
Guangdong partiti-like virus 14	Partitiviridae	RNA_Virus	Mammal-unrelated
Guangdong partiti-like virus 15	Partitiviridae	RNA_Virus	Mammal-unrelated
Guangdong picorna-like virus 1	Dicistroviridae	RNA_Virus	Mammal-unrelated
Guangdong picorna-like virus 2	Dicistroviridae	RNA_Virus	Mammal-unrelated
Guangdong picorna-like virus 3	Dicistroviridae	RNA_Virus	Mammal-unrelated
Wuhan insect virus 33	Dicistroviridae	RNA_Virus	Mammal-unrelated
Guangdong picorna-like virus 5	Picornavirales_Unclassified	RNA_Virus	Mammal-unrelated
Guangdong picorna-like virus 6	Picornavirales_Unclassified	RNA_Virus	Mammal-unrelated
Guangdong picorna-like virus 7	Picornavirales_Unclassified	RNA_Virus	Mammal-unrelated
Guangdong picorna-like virus 8	Picornaviridae	RNA_Virus	Mammal-unrelated
Guangdong picorna-like virus 9	Picornavirales_Unclassified	RNA_Virus	Mammal-unrelated
Guangdong picorna-like virus 10	Picornavirales_Unclassified	RNA_Virus	Mammal-unrelated
Guangdong picorna-like virus 11	Picornavirales_Unclassified	RNA_Virus	Mammal-unrelated
Guangdong picorna-like virus 12	Picornavirales_Unclassified	RNA_Virus	Mammal-unrelated
Guangdong picorna-like virus 13	Polycipiviridae	RNA_Virus	Mammal-unrelated
Mischivirus E	Picornaviridae	RNA_Virus	Mammal-related
Hunnivirus A	Picornaviridae	RNA_Virus	Mammal-related
Guangdong dicipi-like virus	Picornaviridae	RNA_Virus	Mammal-related
Guangdong rosa-like virus	Picornaviridae	RNA_Virus	Mammal-related
Murine kobuvirus	Picornaviridae	RNA_Virus	Mammal-related
Rabovirus A	Picornaviridae	RNA_Virus	Mammal-related
Parabovirus A	Picornaviridae	RNA_Virus	Mammal-related
Guangdong rodent picorna-like virus 14	Picornaviridae	RNA_Virus	Mammal-related
Guangdong parechovirus	Picornaviridae	RNA_Virus	Mammal-related
Norwalk virus	Caliciviridae	RNA_Virus	Mammal-related
Guangdong picorna-like virus 15	Picornavirales_Unclassified	RNA_Virus	Mammal-unrelated
Guangdong picorna-like virus 16	Picornavirales_Unclassified	RNA_Virus	Mammal-unrelated
Guangdong picorna-like virus 17	Picornavirales_Unclassified	RNA_Virus	Mammal-unrelated
Circovirus canine	Circoviridae	DNA_Virus	Mammal-unrelated
Guangdong Suncus murinus circovirus 1	Circoviridae	DNA_Virus	Mammal-unrelated
Guangdong Suncus murinus circovirus 2	Circoviridae	DNA_Virus	Mammal-unrelated
Calfel virus	Circoviridae	DNA_Virus	Mammal-unrelated
Chicken anemia virus	Anelloviridae	DNA_Virus	Mammal-unrelated
Guangdong rodent aleptorquevirus	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent aleptorquevirus	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent aleptorquevirus	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent aleptorquevirus	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent aleptorquevirus	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 3	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 3	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 3	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 3	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 3	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 3	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 3	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 3	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 3	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 3	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 3	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 3	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 3	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent torque teno virus 1	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent torque teno virus 1	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent torque teno virus 1	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent torque teno virus 1	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 2	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 2	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 2	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 2	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 1	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent anellovirus 1	Anelloviridae	DNA_Virus	Mammal-related
Rodent torque teno virus 3	Anelloviridae	DNA_Virus	Mammal-related
Rodent torque teno virus 3	Anelloviridae	DNA_Virus	Mammal-related
Rodent torque teno virus 3	Anelloviridae	DNA_Virus	Mammal-related
Guangdong rodent torque teno virus 3	Anelloviridae	DNA_Virus	Mammal-related
Rat minute virus 2a	Parvoviridae	DNA_Virus	Mammal-related
Rat parvovirus 1	Parvoviridae	DNA_Virus	Mammal-related
Porcine bocavirus	Parvoviridae	DNA_Virus	Mammal-related
Guangdong rodent dependoparvovirus 1	Parvoviridae	DNA_Virus	Mammal-related
Guangdong rodent dependoparvovirus 2	Parvoviridae	DNA_Virus	Mammal-related
Guangdong rodent dependoparvovirus 3	Parvoviridae	DNA_Virus	Mammal-related
Guangdong rodent dependoparvovirus 4	Parvoviridae	DNA_Virus	Mammal-related
Guangdong rodent parvo-like virus	Parvoviridae	DNA_Virus	Mammal-unrelated
Brevihamaparvovirus dipteran 1	Parvoviridae	DNA_Virus	Mammal-unrelated
Rat parvovirus 2	Parvoviridae	DNA_Virus	Mammal-related
Guangdong rodent chaphamaparvovirus 2	Parvoviridae	DNA_Virus	Mammal-related
Guangdong rodent chaphamaparvovirus 3	Parvoviridae	DNA_Virus	Mammal-related
Guangdong murine mastadenovirus 2	Adenoviridae	DNA_Virus	Mammal-related
Guangdong rodent mastadenovirus 1	Adenoviridae	DNA_Virus	Mammal-related
Deer mastadenovirus B	Adenoviridae	DNA_Virus	Mammal-related
Bartonella kosoyi	Bartonellaceae	Bac	Mammal-related
Bartonella sp	Bartonellaceae	Bac	Mammal-related
Chlamydia muridarum	Chlamydiaceae	Bac	Mammal-related
Collinsella aerofaciens	Coriobacteriaceae	Bac	Mammal-related
Desulfovibrio piger	Desulfovibrionaceae	Bac	Mammal-related
Klebsiella variicola	Enterobacteriaceae	Bac	Mammal-related
Angiostrongylus cantonensis	Ancylostomatidae	Euk	Mammal-related
Babesia microti	Babesiidae	Euk	Mammal-related
Brachylaima sp	Brachylaimidae	Euk	Mammal-related
Chilomastix sp	Retortamonadidae	Euk	Mammal-related
Cryptosporidium ubiquitum	Cryptosporidiidae	Euk	Mammal-related
Eimeria dispersa	Eimeriidae	Euk	Mammal-related
Eimeria falciformis	Eimeriidae	Euk	Mammal-related
Giardia sp1	Hexamitidae	Euk	Mammal-related
Giardia sp3	Hexamitidae	Euk	Mammal-related
Hepatozoon sp	Hepatozoidae	Euk	Mammal-related
Hypotrichomonas	Hypotrichomonadidae	Euk	Mammal-related
Monocercomonoides	Oxymonadida_Unclassified	Euk	Mammal-related
Nippostrongylus brasiliensis	Ancylostomatidae	Euk	Mammal-related
Oxyurida sp	Oxyuridae	Euk	Mammal-related
Plagiorchis multiglandularis	Schistosomatidae	Euk	Mammal-related
Pneumocystis carinii	Pneumocystaceae	Euk	Mammal-related
Pneumocystis murina	Pneumocystaceae	Euk	Mammal-related
Pneumocystis sus	Pneumocystaceae	Euk	Mammal-related
Pneumocystis wakefieldiae	Pneumocystaceae	Euk	Mammal-related
Raillietina sp	Davaineidae	Euk	Mammal-related
Spironucleus sp	Hexamitidae	Euk	Mammal-related
Spironucleus sp2	Hexamitidae	Euk	Mammal-related
Spironucleus sp3	Hexamitidae	Euk	Mammal-related
Spironucleus sp4	Hexamitidae	Euk	Mammal-related
Spironucleus sp5	Hexamitidae	Euk	Mammal-related
Strongyloides ratti	Strongyloididae	Euk	Mammal-related
Strongyloides stercoralis	Strongyloididae	Euk	Mammal-related
Strongyloides venezuelensis	Strongyloididae	Euk	Mammal-related
Tritrichomonas sp	Tritrichomonadidae	Euk	Mammal-related
Trypanosoma lewis	Trypanosomatidae	Euk	Mammal-related
