"","Library","Shannon","Richness","Type","Tissue"
"3634","M2212SSHXSH655CX100",0,0,"Bacteria","Gut"
"3635","M2212SSHXSH655CX100",0,0,"Eukaryote","Gut"
"3636","M2212SSHXSH655CX100",0,0,"RNA virus","Gut"
"3637","M2212SSHXSH656FX100",0,0,"Bacteria","Lung"
"3638","M2212SSHXSH656FX100",0.0834103318588928,2,"RNA virus","Lung"
"3639","M2212SSHXSH656FX100",0,1,"Eukaryote","Lung"
"3640","M2212SSHXSH656FX100",0,0,"DNA virus","Lung"
"3641","M2212SSHXSH656PX100",0,0,"DNA virus","Spleen"
"3642","M2212SSHXSH656PX100",0,1,"RNA virus","Spleen"
"3643","M2212SSHXSH656PX100",0,0,"Eukaryote","Spleen"
"3644","M2212SSHXSH656PX100",0,0,"Bacteria","Spleen"
"3645","M2212SSHXSH657FB",0,0,"DNA virus","Lung"
"3646","M2212SSHXSH657FB",0,0,"Bacteria","Lung"
"3647","M2212SSHXSH657FB",0,1,"RNA virus","Lung"
"3648","M2212SSHXSH657FB",0,0,"Eukaryote","Lung"
"3649","M2212SSHXSH659FX100",0,0,"Bacteria","Lung"
"3650","M2212SSHXSH659FX100",0,0,"DNA virus","Lung"
"3651","M2212SSHXSH659FX100",0,1,"Eukaryote","Lung"
"3652","M2212SSHXSH659FX100",0,1,"RNA virus","Lung"
"3653","M2212SSHXSH659PX100",0,0,"Eukaryote","Spleen"
"3654","M2212SSHXSH659PX100",0,0,"Bacteria","Spleen"
"3655","M2212SSHXSH659PX100",0.674455345937108,2,"RNA virus","Spleen"
"3656","M2212SSHXSH659PX100",0,1,"DNA virus","Spleen"
"3657","M2212SSHXSH660CX100",0.30340221498554,3,"RNA virus","Gut"
"3658","M2212SSHXSH660CX100",0,0,"Eukaryote","Gut"
"3659","M2212SSHXSH660CX100",0,0,"DNA virus","Gut"
"3660","M2212SSHXSH660CX100",0,0,"Bacteria","Gut"
"3661","M2212SSHXSH660FX100",0,0,"DNA virus","Lung"
"3662","M2212SSHXSH660FX100",0,0,"Bacteria","Lung"
"3663","M2212SSHXSH660FX100",0,1,"RNA virus","Lung"
"3664","M2212SSHXSH660FX100",0,0,"Eukaryote","Lung"
"3665","M2212SSHXSH660PX100",0,0,"DNA virus","Spleen"
"3666","M2212SSHXSH660PX100",0,0,"Bacteria","Spleen"
"3667","M2212SSHXSH660PX100",0,0,"Eukaryote","Spleen"
"3668","M2212SSHXSH660PX100",0,1,"RNA virus","Spleen"
"3669","M2212SZBCSW721CX100",0,0,"Bacteria","Gut"
"3670","M2212SZBCSW721CX100",0,0,"Eukaryote","Gut"
"3671","M2212SZBCSW721CX100",0,0,"DNA virus","Gut"
"3672","M2212SZBCSW721CX100",0,0,"RNA virus","Gut"
"3673","M2212SZHJSH754FX100",0,1,"RNA virus","Lung"
"3674","M2212SZHJSH754FX100",0,0,"Eukaryote","Lung"
"3675","M2212SZHJSH754FX100",0,0,"DNA virus","Lung"
"3676","M2212SZHJSH754FX100",0,0,"Bacteria","Lung"
"3677","M2212SZHJSH754PX100",0,0,"Bacteria","Spleen"
"3678","M2212SZHJSH754PX100",0,0,"Eukaryote","Spleen"
"3679","M2212SZHJSH754PX100",0,1,"RNA virus","Spleen"
"3680","M2212SZHJSH754PX100",0,0,"DNA virus","Spleen"
"3681","M2212SZHJSH755CX100",0,0,"Bacteria","Gut"
"3682","M2212SZHJSH755CX100",0,0,"DNA virus","Gut"
"3683","M2212SZHJSH755CX100",0,1,"RNA virus","Gut"
"3684","M2212SZHJSH755CX100",0,1,"Eukaryote","Gut"
"3685","M2212SZHJSH755FX100",0,0,"DNA virus","Lung"
"3686","M2212SZHJSH755FX100",0,1,"RNA virus","Lung"
"3687","M2212SZHJSH755FX100",0,0,"Bacteria","Lung"
"3688","M2212SZHJSH755FX100",0,1,"Eukaryote","Lung"
"3689","M2212SZHJSH755P",0,0,"DNA virus","Spleen"
"3690","M2212SZHJSH755P",0,1,"RNA virus","Spleen"
"3691","M2212SZHJSH755P",0,0,"Bacteria","Spleen"
"3692","M2212SZHJSH755P",0,0,"Eukaryote","Spleen"
"3693","M2212SZHJSH756CX10",0,1,"RNA virus","Gut"
"3694","M2212SZHJSH756CX10",0,0,"Bacteria","Gut"
"3695","M2212SZHJSH756CX10",0,0,"DNA virus","Gut"
"3696","M2212SZHJSH756CX10",0,0,"Eukaryote","Gut"
"3697","M2212SZHJSH756P",0,0,"Eukaryote","Spleen"
"3698","M2212SZHJSH756P",0,0,"Bacteria","Spleen"
"3699","M2212SZHJSH756P",0,0,"DNA virus","Spleen"
"3700","M2212SZHJSH756P",0,0,"RNA virus","Spleen"
"3701","M2212SZHJSH757P",0,1,"RNA virus","Spleen"
"3702","M2212SZHJSH757P",0,0,"Eukaryote","Spleen"
"3703","M2212SZHJSH757P",0,0,"Bacteria","Spleen"
"3704","M2212SZHJSH757P",0,0,"DNA virus","Spleen"
"3705","M2212SZHJSH758P",0,0,"DNA virus","Spleen"
"3706","M2212SZHJSH758P",0,0,"RNA virus","Spleen"
"3707","M2212SZHJSH758P",0,0,"Eukaryote","Spleen"
"3708","M2212SZHJSH758P",0,1,"Bacteria","Spleen"
"3709","M2212SZHJSH759CX100",0.576879553688109,2,"Bacteria","Gut"
"3710","M2212SZHJSH759CX100",0.474500132224045,2,"Eukaryote","Gut"
"3711","M2212SZHJSH759CX100",0.347988395335187,2,"RNA virus","Gut"
"3712","M2212SZHJSH759CX100",0,0,"DNA virus","Gut"
"3713","M2212SZHJSH759F",0,0,"Bacteria","Lung"
"3714","M2212SZHJSH759F",0,0,"Eukaryote","Lung"
"3715","M2212SZHJSH759F",0,1,"RNA virus","Lung"
"3716","M2212SZHJSH759F",0,0,"DNA virus","Lung"
"3717","M2212SZHJSH759P",0,0,"Bacteria","Spleen"
"3718","M2212SZHJSH759P",0,0,"Eukaryote","Spleen"
"3719","M2212SZHJSH759P",0,0,"RNA virus","Spleen"
"3720","M2212SZHJSH759P",0,0,"DNA virus","Spleen"
"3721","M2212SZHJSH760CN",0,0,"Bacteria","Gut"
"3722","M2212SZHJSH760CN",0,1,"Eukaryote","Gut"
"3723","M2212SZHJSH760CN",0,0,"RNA virus","Gut"
"3724","M2212SZHJSH760CN",0,1,"DNA virus","Gut"
"3725","M2212SZHJSH760F",0,0,"DNA virus","Lung"
"3726","M2212SZHJSH760F",0,0,"Bacteria","Lung"
"3727","M2212SZHJSH760F",0,0,"Eukaryote","Lung"
"3728","M2212SZHJSH760F",0,1,"RNA virus","Lung"
"3729","M2212SZHJSH760P",0,0,"Bacteria","Spleen"
"3730","M2212SZHJSH760P",0,0,"DNA virus","Spleen"
"3731","M2212SZHJSH760P",0,0,"Eukaryote","Spleen"
"3732","M2212SZHJSH760P",0,0,"RNA virus","Spleen"
"3733","M2212SZHJSH761CX100",0,0,"DNA virus","Gut"
"3734","M2212SZHJSH761CX100",0,0,"Bacteria","Gut"
"3735","M2212SZHJSH761CX100",0,0,"Eukaryote","Gut"
"3736","M2212SZHJSH761CX100",0,1,"RNA virus","Gut"
"3737","M2212SZHJSH761FX100",0,0,"Bacteria","Lung"
"3738","M2212SZHJSH761FX100",0,0,"Eukaryote","Lung"
"3739","M2212SZHJSH761FX100",0,0,"DNA virus","Lung"
"3740","M2212SZHJSH761FX100",0,1,"RNA virus","Lung"
"3741","M2212SZHJSH761P",0,0,"Bacteria","Spleen"
"3742","M2212SZHJSH761P",0,0,"RNA virus","Spleen"
"3743","M2212SZHJSH761P",0,0,"DNA virus","Spleen"
"3744","M2212SZHJSH761P",0,0,"Eukaryote","Spleen"
"3745","M2212SZHJSH762FX100",0,1,"RNA virus","Lung"
"3746","M2212SZHJSH762FX100",0,0,"DNA virus","Lung"
"3747","M2212SZHJSH762FX100",0,0,"Eukaryote","Lung"
"3748","M2212SZHJSH762FX100",0,0,"Bacteria","Lung"
"3749","M2212SZHJSH762P",0,0,"DNA virus","Spleen"
"3750","M2212SZHJSH762P",0,0,"Eukaryote","Spleen"
"3751","M2212SZHJSH762P",0,0,"Bacteria","Spleen"
"3752","M2212SZHJSH762P",0,0,"RNA virus","Spleen"
"3753","M2212SZHJSH763P",0,1,"DNA virus","Spleen"
