"","to","from","Positivate.Rate","xstart","ystart","xend","yend"
"144","Rat parvovirus 1","Rattus norvegicus",0.00490196078431373,4.42880293622832,3.5019712698901,4.17040255277542,4.48774475079316
"145","Rat parvovirus 2","Rattus norvegicus",0.00490196078431373,4.42880293622832,3.5019712698901,5.66245871690172,3.68580029794376
"146","Rat parvovirus 2","Rattus tanezumi",0.00819672131147541,5.06803577009438,2.83876803280015,5.66245871690172,3.68580029794376
"147","Rodent astrovirus 1","Rattus norvegicus",0.00490196078431373,4.42880293622832,3.5019712698901,3.94698114885735,2.95467242034396
"148","Rodent astrovirus 1","Rattus andamanensis",0.0416666666666667,3.83401088335383,1.96919323733902,3.94698114885735,2.95467242034396
"149","Rodent astrovirus 1","Rattus tanezumi",0.0245901639344262,5.06803577009438,2.83876803280015,3.94698114885735,2.95467242034396
"150","Rodent astrovirus 1","Rattus losea",0.0256410256410256,4.17993531153186,2.58135731348907,3.94698114885735,2.95467242034396
"151","Rodent astrovirus 1","Bandicota indica",0.0654761904761905,3.37188735387076,2.43643339495397,3.94698114885735,2.95467242034396
"152","Rodent astrovirus 2","Rattus norvegicus",0.0245098039215686,4.42880293622832,3.5019712698901,4.36778385780384,4.92540434410531
"153","Rodent astrovirus 3","Rattus tanezumi",0.0737704918032787,5.06803577009438,2.83876803280015,4.44128274918969,3.10317593326211
"154","Rodent astrovirus 3","Rattus losea",0.0641025641025641,4.17993531153186,2.58135731348907,4.44128274918969,3.10317593326211
"155","Rodent astrovirus 3","Rattus norvegicus",0.0784313725490196,4.42880293622832,3.5019712698901,4.44128274918969,3.10317593326211
"156","Rodent astrovirus 3","Bandicota indica",0.0833333333333333,3.37188735387076,2.43643339495397,4.44128274918969,3.10317593326211
"157","Rodent astrovirus 3","Rattus andamanensis",0.0416666666666667,3.83401088335383,1.96919323733902,4.44128274918969,3.10317593326211
"158","Rodent coronavirus","Rattus norvegicus",0.00980392156862745,4.42880293622832,3.5019712698901,2.89798188027759,3.81404934153996
"159","Rodent coronavirus","Bandicota indica",0.00595238095238095,3.37188735387076,2.43643339495397,2.89798188027759,3.81404934153996
"160","Rodent pegivirus","Rattus norvegicus",0.0490196078431373,4.42880293622832,3.5019712698901,5.24368107003052,3.99531860670094
"161","Rodent pegivirus","Rattus tanezumi",0.0245901639344262,5.06803577009438,2.83876803280015,5.24368107003052,3.99531860670094
"162","Spironucleus sp","Bandicota indica",0.0238095238095238,3.37188735387076,2.43643339495397,2.31470844271086,1.64432038840141
"163","Spironucleus sp2","Rattus norvegicus",0.00490196078431373,4.42880293622832,3.5019712698901,4.64986441825182,4.88840943048125
"164","Spironucleus sp3","Rattus norvegicus",0.00490196078431373,4.42880293622832,3.5019712698901,3.72567043566976,4.83108725312881
"165","Spironucleus sp4","Rattus norvegicus",0.00490196078431373,4.42880293622832,3.5019712698901,2.79292202557322,3.24952404380724
"166","Spironucleus sp4","Bandicota indica",0.00595238095238095,3.37188735387076,2.43643339495397,2.79292202557322,3.24952404380724
"167","Spironucleus sp5","Bandicota indica",0.00595238095238095,3.37188735387076,2.43643339495397,2.74256504425946,1.60970958180001
"168","Spironucleus sp5","Rattus andamanensis",0.0416666666666667,3.83401088335383,1.96919323733902,2.74256504425946,1.60970958180001
"169","Strongyloides ratti","Rattus tanezumi",0.00819672131147541,5.06803577009438,2.83876803280015,3.70050756408012,2.81890585863626
"170","Strongyloides ratti","Bandicota indica",0.0178571428571429,3.37188735387076,2.43643339495397,3.70050756408012,2.81890585863626
"171","Strongyloides ratti","Rattus losea",0.0897435897435897,4.17993531153186,2.58135731348907,3.70050756408012,2.81890585863626
"172","Strongyloides ratti","Rattus andamanensis",0.125,3.83401088335383,1.96919323733902,3.70050756408012,2.81890585863626
"173","Strongyloides ratti","Rattus norvegicus",0.0196078431372549,4.42880293622832,3.5019712698901,3.70050756408012,2.81890585863626
"174","Strongyloides stercoralis","Suncus murinus",0.1,4.68107409597998,1.36445201187613,5.33652699704409,0.399933318769789
"175","Strongyloides venezuelensis","Rattus norvegicus",0.0441176470588235,4.42880293622832,3.5019712698901,3.72241247526956,4.11416143680774
"176","Strongyloides venezuelensis","Rattus losea",0.0128205128205128,4.17993531153186,2.58135731348907,3.72241247526956,4.11416143680774
"177","Strongyloides venezuelensis","Rattus andamanensis",0.0416666666666667,3.83401088335383,1.96919323733902,3.72241247526956,4.11416143680774
"178","Tritrichomonas sp","Rattus norvegicus",0.00490196078431373,4.42880293622832,3.5019712698901,4.37830944348695,2.37424875843445
"179","Tritrichomonas sp","Rattus tanezumi",0.0819672131147541,5.06803577009438,2.83876803280015,4.37830944348695,2.37424875843445
"180","Tritrichomonas sp","Rattus losea",0.0897435897435897,4.17993531153186,2.58135731348907,4.37830944348695,2.37424875843445
"181","Tritrichomonas sp","Rattus andamanensis",0.0833333333333333,3.83401088335383,1.96919323733902,4.37830944348695,2.37424875843445
"182","Tritrichomonas sp","Berylmys bowersi",0.2,3.87141341133166,0.861566949606168,4.37830944348695,2.37424875843445
"183","Tritrichomonas sp","Bandicota indica",0.0476190476190476,3.37188735387076,2.43643339495397,4.37830944348695,2.37424875843445
"184","Trypanosoma lewis","Rattus andamanensis",0.0416666666666667,3.83401088335383,1.96919323733902,5.02735567153376,3.39515077254925
"185","Trypanosoma lewis","Rattus losea",0.0512820512820513,4.17993531153186,2.58135731348907,5.02735567153376,3.39515077254925
"186","Trypanosoma lewis","Rattus tanezumi",0.0983606557377049,5.06803577009438,2.83876803280015,5.02735567153376,3.39515077254925
"187","Trypanosoma lewis","Rattus norvegicus",0.0441176470588235,4.42880293622832,3.5019712698901,5.02735567153376,3.39515077254925
"188","Wenzhou Apodemus agrarius hepacivirus 1","Suncus murinus",0.2375,4.68107409597998,1.36445201187613,4.91294397257677,0.152815085700475
"189","Wnezhou virus","Rattus norvegicus",0.102941176470588,4.42880293622832,3.5019712698901,3.81755428992249,2.49020532158891
"190","Wnezhou virus","Rattus tanezumi",0.0327868852459016,5.06803577009438,2.83876803280015,3.81755428992249,2.49020532158891
"191","Wnezhou virus","Rattus losea",0.0256410256410256,4.17993531153186,2.58135731348907,3.81755428992249,2.49020532158891
"192","Wnezhou virus","Bandicota indica",0.136904761904762,3.37188735387076,2.43643339495397,3.81755428992249,2.49020532158891
